기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-01-01,① 핵심,NSM · 세탁 물량(점),442388.0,420540.0,5.2,전년比 0% 이상,양호
2026-01-01,① 핵심,고객당 물량(점),7.75,8.43,-8.0,전년比 -3% 이내,이탈
2026-01-01,① 핵심,수거신청 수(건),92767.0,81543.0,13.8,,
2026-01-01,① 핵심,"활성 고객 수(순, 명)",57065.0,49898.0,14.4,,
2026-01-01,② 구성,구독 고객 비중(%),37.94,41.68,-9.0,40% 이상,이탈
2026-01-01,② 구성,구독 고객당 물량(점),11.45,11.38,0.6,,
2026-01-01,② 구성,월 구독 물량(점),247943.0,236752.0,4.7,,
2026-01-01,② 구성,자유 고객당 물량(점),5.44,6.27,-13.3,,
2026-01-01,② 구성,자유 물량(점),194445.0,183788.0,5.8,,
2026-01-01,② 구성,플러스 물량(점),0.0,0.0,,,
2026-01-01,③ 구독,구독-개월 수(건),25001.0,24466.0,2.2,,
2026-01-01,③ 구독,낙전 비율(%),9.97,12.53,-20.4,전년比 상승 금지,양호
2026-01-01,④ 금액,결제금액(원),3463707041.0,3210462614.0,7.9,,
2026-01-01,④ 금액,무상포인트 할인율(%),5.27,2.06,155.7,전년比 +0.5%p 이내,이탈
2026-01-01,④ 금액,"실질 매출(선수금 이연, 원)",3463707041.0,3210462614.0,7.9,,
2026-01-01,⑨ 진단,배송시각 결측(%),0.03,0.03,-15.4,,
2026-01-01,⑤ 품질,세탁 부속품 비중(%),2.89,2.27,27.4,,
2026-01-01,⑤ 품질,세탁 불가(만건당),3.64,0.79,360.8,2건 이하,이탈
2026-01-01,⑤ 품질,전체 리드타임 P90(일),4.08,5.04,-19.0,전년比 상승 금지,양호
2026-01-01,⑤ 품질,출고 기한 준수율(%),98.27,98.82,-0.6,95% 이상,양호
2026-01-01,⑥ 캐파,일 최대 물량(점),20078.0,21525.0,-6.7,,
2026-01-01,⑥ 캐파,일평균 물량(점),14270.58,14501.38,-1.6,,
2026-01-01,⑦ 신규,가입 → 7일 내 첫 이용(%),39.22,38.0,3.2,전년比 하락 금지,양호
2026-01-01,⑦ 신규,가입자당 7일 주문(건),0.55,0.52,6.1,전년比 -5% 이내,양호
