기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-01-01,① 신규,신규 가입자(명),15427,13884.3,11.1,,
2026-01-01,② 첫 주문,첫 주문율(%),34.51,33.74,2.3,전년比 하락 금지,양호
2026-01-01,② 첫 주문,첫 주문율 · 자유(%),21.4,21.59,-0.9,전년比 하락 금지,이탈
2026-01-01,② 첫 주문,첫 주문율 · 구독(%),13.8,12.82,7.7,전년比 하락 금지,양호
2026-01-01,② 첫 주문,첫 주문자 수(명),5324,4685,13.6,,
2026-01-01,③ 코호트,28일 내 1회차 도달(%),38.71,37.64,2.8,전년比 하락 금지,양호
2026-01-01,③ 코호트,28일 내 2회차 도달(%),13.16,12.42,6.0,전년比 하락 금지,양호
2026-01-01,③ 코호트,28일 내 3회차 도달(%),5.03,4.52,11.4,전년比 하락 금지,양호
2026-01-01,③ 코호트,1회차 → 2회차 잔존(%),34.0,33.1,2.7,전년比 하락 금지,양호
2026-01-01,③ 코호트,2회차 → 3회차 잔존(%),38.5,37.9,1.6,전년比 하락 금지,양호
2026-01-01,④ 구독 유입,구독 가입(건),3240,3045.6,6.4,,
2026-01-01,④ 구독 유입,바로 구독(%),46.2,47.8,-3.3,,
2026-01-01,④ 구독 유입,써보고 구독(%),38.1,36.4,4.7,,
2026-01-01,④ 구독 유입,재가입(%),15.7,15.8,-0.6,,
2026-01-01,④ 구독 유입,플러스 · 전체(%),22.4,18.9,18.5,,
2026-01-01,④ 구독 유입,플러스 · 3개월(%),11.8,10.4,13.5,,
2026-01-01,④ 구독 유입,플러스 · 6개월(%),7.1,5.9,20.3,,
2026-01-01,④ 구독 유입,플러스 · 12개월(%),3.5,2.6,34.6,,
2026-01-01,⑤ 리텐션,결제 1→2회차(%),71.2,70.1,1.6,전년比 하락 금지,양호
2026-01-01,⑤ 리텐션,결제 2→3회차(%),77.0,76.4,0.8,전년比 하락 금지,양호
2026-01-01,⑤ 리텐션,결제 1→3회차(%),54.8,54.0,1.5,전년比 하락 금지,양호
