연도,월,기간,신규 가입자(명),첫 주문자 수(명),첫 주문율(%),2회차 주문자 수(명),2회차 주문율(%),가입자 대비 2회차(%),비고
2025,1,2025-01,24100,8772,36.40,2737,31.20,11.36,전월
2026,1,2026-01,33800,11458,33.90,3311,28.90,9.80,전월
2025,2,2025-02,19800,6950,35.10,2113,30.40,10.67,전월
2026,2,2026-02,27600,9163,33.20,2575,28.10,9.33,전월
2025,3,2025-03,26400,9187,34.80,2738,29.80,10.37,전월
2026,3,2026-03,35900,11632,32.40,3187,27.40,8.88,전월
2025,4,2025-04,31200,10577,33.90,3078,29.10,9.87,전월
2026,4,2026-04,41200,12690,30.80,3325,26.20,8.07,전월
2025,5,2025-05,25600,8858,34.60,2622,29.60,10.24,전월
2026,5,2026-05,34700,10965,31.60,2939,26.80,8.47,전월
2025,6,2025-06,22900,8061,35.20,2434,30.19,10.63,전월
2026,6,2026-06,30100,9632,32.00,2649,27.50,8.80,전월
2025,7,2025-07,24800,8457,34.10,2486,29.40,10.02,전월
2026,7,2026-07,32400,9752,30.10,,,,2회차 관측 대기(30일 미충족)
2025,8,2025-08,15100,5104,33.80,1475,28.90,9.77,부분 · 1~20일
2026,8,2026-08,19800,6118,30.90,,,,부분 · 1~20일 · 2회차 관측 대기(30일 미충족)
